model,decoding,prompting_strategy,graph_variant,hop,n,em_mean,em_stderr,f1_mean,f1_stderr,override_rate,adherence_rate,prior_knowledge_em_mean,path_precision_mean,path_recall_mean,path_em_mean,latency_ms_mean,total_tokens_mean,estimated_cost_usd_mean,parse_error_rate,empty_response_rate
deepseek-ai/deepseek-v3.2-maas,greedy,direct,abstract,1,1,1.0,,1.0,,,,,0.0,0.0,0.0,822.0,480.0,0.00028112000000000005,0.0,0.0
deepseek-ai/deepseek-v3.2-maas,greedy,direct,abstract,2,1,1.0,,1.0,,,,,0.0,0.0,0.0,793.0,463.0,0.00027160000000000004,0.0,0.0
deepseek-ai/deepseek-v3.2-maas,greedy,direct,abstract,3,1,1.0,,1.0,,,,,0.0,0.0,0.0,769.0,472.0,0.00028,0.0,0.0
deepseek-ai/deepseek-v3.2-maas,greedy,direct,counterfactual,1,1,1.0,,1.0,,,,,0.0,0.0,0.0,773.0,447.0,0.00026824,0.0,0.0
deepseek-ai/deepseek-v3.2-maas,greedy,direct,counterfactual,2,1,0.0,,0.0,,,,,0.0,0.0,0.0,741.0,425.0,0.00024808,0.0,0.0
deepseek-ai/deepseek-v3.2-maas,greedy,direct,counterfactual,3,1,1.0,,1.0,,,,,0.0,0.0,0.0,785.0,437.0,0.00026040000000000004,0.0,0.0
deepseek-ai/deepseek-v3.2-maas,greedy,direct,natural,1,1,1.0,,1.0,,,,,0.0,0.0,0.0,1088.0,429.0,0.00025032,0.0,0.0
deepseek-ai/deepseek-v3.2-maas,greedy,direct,natural,2,1,0.0,,0.0,,,,,0.0,0.0,0.0,780.0,423.0,0.00024696000000000006,0.0,0.0
deepseek-ai/deepseek-v3.2-maas,greedy,direct,natural,3,1,1.0,,1.0,,,,,0.0,0.0,0.0,789.0,417.0,0.00024696,0.0,0.0
deepseek-ai/deepseek-v3.2-maas,greedy,scot,abstract,1,1,1.0,,1.0,,,,,0.0,0.0,0.0,1286.0,617.0,0.0004519200000000001,0.0,0.0
deepseek-ai/deepseek-v3.2-maas,greedy,scot,abstract,2,1,0.0,,0.0,,,,,0.0,0.0,0.0,1527.0,633.0,0.00049784,1.0,1.0
deepseek-ai/deepseek-v3.2-maas,greedy,scot,abstract,3,1,0.0,,0.0,,,,,0.0,0.0,0.0,2028.0,639.0,0.0005012,1.0,1.0
deepseek-ai/deepseek-v3.2-maas,greedy,scot,counterfactual,1,1,1.0,,1.0,,,,,0.0,0.0,0.0,1239.0,597.0,0.00046088,0.0,0.0
deepseek-ai/deepseek-v3.2-maas,greedy,scot,counterfactual,2,1,1.0,,1.0,,,,,0.0,0.0,0.0,1607.0,591.0,0.00046760000000000004,0.0,0.0
deepseek-ai/deepseek-v3.2-maas,greedy,scot,counterfactual,3,1,0.0,,0.0,,,,,0.0,0.0,0.0,1798.0,604.0,0.0004816,1.0,1.0
deepseek-ai/deepseek-v3.2-maas,greedy,scot,natural,1,1,1.0,,1.0,,,,,0.0,0.0,0.0,1235.0,574.0,0.00043456000000000007,0.0,0.0
deepseek-ai/deepseek-v3.2-maas,greedy,scot,natural,2,1,0.0,,0.0,,,,,0.0,0.0,0.0,1452.0,595.0,0.00047656000000000006,1.0,1.0
deepseek-ai/deepseek-v3.2-maas,greedy,scot,natural,3,1,1.0,,1.0,,,,,0.0,0.0,0.0,1283.0,575.0,0.00045304000000000004,0.0,0.0
gemini-2.5-flash,greedy,direct,abstract,1,1,0.0,,0.0,,,,,0.0,0.0,0.0,2606.0,764.0,0.00021869999999999998,1.0,1.0
gemini-2.5-flash,greedy,direct,abstract,2,1,0.0,,0.0,,,,,0.0,0.0,0.0,2645.0,773.0,0.0002072,1.0,1.0
gemini-2.5-flash,greedy,direct,abstract,3,1,0.0,,0.0,,,,,0.0,0.0,0.0,1016.0,776.0,0.00020119999999999998,1.0,1.0
gemini-2.5-flash,greedy,direct,counterfactual,1,1,1.0,,1.0,,,,,0.0,0.0,0.0,2339.0,490.0,0.0001682,0.0,0.0
gemini-2.5-flash,greedy,direct,counterfactual,2,1,0.0,,0.0,,,,,0.0,0.0,0.0,2177.0,553.0,0.0001368,1.0,1.0
gemini-2.5-flash,greedy,direct,counterfactual,3,1,0.0,,0.0,,,,,0.0,0.0,0.0,2242.0,552.0,0.00013340000000000002,1.0,1.0
gemini-2.5-flash,greedy,direct,natural,1,1,1.0,,1.0,,,,,0.0,0.0,0.0,3240.0,504.0,0.0001561,0.0,0.0
gemini-2.5-flash,greedy,direct,natural,2,1,0.0,,0.0,,,,,0.0,0.0,0.0,2878.0,523.0,0.00013839999999999998,1.0,1.0
