Original|Swapped_To|Type
'Til There Was You|Tales from the Organ Trade|title
+1|1408|number
.45|21|number
007|120|number
1|13|number
1.5|2|number
10|360|number
10 Rillington Place|Come Early Morning|title
10 Things I Hate About You|Sins of My Father|title
100 Bloody Acres|Tromeo and Juliet|title
100 Ways to Murder Your Wife|Arabesque|title
11-11-11|tom dey|tag
11.6|1776|number
12|007|number
12 Angry Men|Aparajito|title
12 O'Clock Boys|Steamboat Round the Bend|title
120|Infinity|number
12th century|lisbon|tag
13|.45|number
13 Rue Madeleine|When Will I Be Loved|title
13th century|robert m. young|tag
1408|+1|number
15th century|gil junger|tag
1776|11.6|number
17th century|cabin|tag
18th century|alberto cavalcanti|tag
1900|1909|year
1909|2008|year
1910|1984|year
1910s|hugh wilson|tag
1911|1960|year
1914|1921|year
1915|1950|year
1916|1942|year
1917|1955|year
1918|1994|year
1919|1958|year
1920|2000|year
1920s|andy samberg|tag
1921|1951|year
1922|1987|year
1923|1996|year
1924|1954|year
1925|1999|year
1926|1982|year
1927|2001|year
1928|2007|year
1929|1969|year
1930|1986|year
1930s|amy adams|tag
1931|1973|year
1932|1924|year
1933|1979|year
1935|1917|year
1936|1978|year
1937|1933|year
1938|1953|year
1939|1983|year
1940|1935|year
1940s|kidnapping|tag
1941|1919|year
1942|1970|year
1943|1976|year
1944|1930|year
1945|1966|year
1946|1981|year
1947|2009|year
1948|1911|year
1949|1945|year
1950|1968|year
1950s|gene wilder|tag
1951|2002|year
1952|2006|year
1953|1927|year
1954|1977|year
1955|1974|year
1956|2081|year
1957|2012|year
1958|1915|year
1959|1939|year
1960|1998|year
1960s|drag queens|tag
1961|1993|year
1962|1949|year
1963|1914|year
1964|1948|year
1965|1957|year
1966|1938|year
1967|1941|year
1968|2005|year
1969|1926|year
1970|1923|year
1970s|anne rice|tag
1971|2010|year
1972|1959|year
1973|1967|year
1974|1918|year
1975|1971|year
1976|1997|year
1977|1972|year
1978|1965|year
1979|1995|year
1980|1931|year
1980s|adam carolla|tag
1981|2003|year
1982|1962|year
1983|1929|year
1984|1937|year
1985|1946|year
1986|2014|year
1987|1961|year
1988|1947|year
1989|1964|year
1990|1991|year
1990s|karen allen|tag
1991|1956|year
1992|2011|year
1993|1980|year
1994|1940|year
1995|1963|year
1996|1952|year
1997|1989|year
1998|2013|year
1999|1916|year
19th century|ken watanabe|tag
2|3|number
2 Days in New York|The Little Thief|title
2-Headed Shark Attack|Ghost Story|title
20 Million Miles to Earth|Peter Ibbetson|title
20,000 Leagues Under the Sea|The Necessities of Life|title
20,000 Years in Sing Sing|Saving Santa|title
2000|1910|year
2001|2004|year
2002|1900|year
2003|1990|year
2004|1985|year
2005|1988|year
2006|1932|year
2007|1992|year
2008|1922|year
2009|1944|year
2010|1920|year
2011|1943|year
2012|2015|year
2013|1925|year
2014|1975|year
2015|1928|year
2081|1936|year
21|1.5|number
21 Jump Street|First Daughter|title
22 Jump Street|Dead Awake|title
23 Paces to Baker Street|Sidekicks|title
24 Hour Party People|The Return of Swamp Thing|title
28 Hotel Rooms|Von Richthofen and Brown|title
28 Weeks Later|Breaking Point|title
3|12|number
3 Bad Men|Alice in Murderland|title
3 Ring Circus|Psycho|title
300|7500|number
360|51|number
3d|john woo|tag
4|42|number
40 Guns to Apache Pass|Eve of Destruction|title
42|9|number
44 Inch Chest|Import/Export|title
5 Card Stud|Free Samples|title
5 Centimeters Per Second|Far from Home|title
50 First Dates|Fingers|title
50 cent|wales|tag
51|4|number
51 Birch Street|The Proposition|title
52 Pick-Up|napoleon dynamite|tag
54|10|number
5x2|fabulous|tag
60s|cat|tag
7 Faces of Dr. Lao|Fine, Totally Fine|title
7 Khoon Maaf|Lucky Break|title
70mm|harlem|tag
70s|oakland|tag
711 Ocean Drive|Hamoun|title
7500|1|number
8 Million Ways to Die|Two Arabian Knights|title
80s|phone|tag
84 Charing Cross Road|Blood Relatives|title
9|54|number
9 Dead Gay Guys|Paranormal Activity 2|title
90s|kiyoshi kurosawa|tag
976-EVIL|panda|tag
976-Evil II|rene russo|tag
99 River Street|My House in Umbria|title
A Bag of Hammers|A Message to Garcia|title
A Beautiful Mind|The Duellists|title
A Beginner's Guide to Endings|Hostile Witness|title
A Bell for Adano|Machete|title
A Better Life|Toy Soldiers|title
A Better Place|Don't Come Knocking|title
A Better Tomorrow|A Summer Place|title
A Better Way to Die|Scared Shrekless|title
A Big Hand for the Little Lady|Armless|title
A Birder's Guide to Everything|Linewatch|title
A Blueprint for Murder|Now You Know|title
A Boy Called Hate|The Laughing Woman|title
A Boy Named Charlie Brown|The Pursuit of Happyness|title
A Boy and His Dog|The Miracle Woman|title
A Breed Apart|Delitto a Porta Romana|title
A Bridge Too Far|Hostel|title
A Brief History of Time|The Mountain of the Cannibal God|title
A Brief Vacation|Dragonslayer|title
A Bright Shining Lie|Hannah Takes the Stairs|title
A Brighter Summer Day|The Funeral|title
A Bronx Tale|Follow That Dream|title
A Brony Tale|Executive Suite|title
A Bucket of Blood|The Sun Shines Bright|title
A Bug's Life|Georg|title
A Bullet for Joey|Mental|title
A Bullet for the General|Change of Habit|title
A Bunch of Amateurs|Otis|title
A Burning Hot Summer|Money for Nothing|title
A Canterbury Tale|Waiting...|title
A Carol for Another Christmas|The Life Aquatic with Steve Zissou|title
A Case of You|Powder|title
A Cat in Paris|House of Wax|title
A Charlie Brown Christmas|A Goofy Movie|title
A Chef in Love|Young Adam|title
A Child Is Waiting|Lucky Numbers|title
A Chinese Ghost Story|The Sunset Limited|title
A Chorus Line|Inside Llewyn Davis|title
A Christmas Carol|Queen Christina|title
A Christmas Kiss|Belle of the Nineties|title
A Christmas Story|Sisters of the Gion|title
A Christmas Story 2|V/H/S|title
A Christmas Tale|The 24th Day|title
A Chump at Oxford|The General|title
A Cinderella Story|Toy Story 2|title
A Circle of Deception|A Very Potter Musical|title
A Civil Action|Girl, Interrupted|title
A Claymation Christmas Celebration|Aliens in the Attic|title
A Clockwork Orange|The Ghost|title
A Close Shave|My Name Is Khan|title
A Colt Is My Passport|Hot to Trot|title
A Common Man|Dream with the Fishes|title
A Common Thread|The Adventures of Robin Hood|title
A Complete History of My Sexual Failures|The Spectacular Now|title
A Cool, Dry Place|Hell and High Water|title
A Couch in New York|Eight Crazy Nights|title
A Countess from Hong Kong|The Package|title
A Cruel Romance|Posse|title
A Cry in the Night|Yes Man|title
A Cry in the Wild|The Leopard|title
A Damsel in Distress|Alila|title
A Dangerous Man|Prophecy|title
A Dangerous Method|La Belle Noiseuse|title
A Dangerous Profession|The Breaks|title
A Dangerous Woman|The Fall|title
A Dark Truth|Saints and Soldiers|title
A Date with Judy|The Presence|title
A Day Without a Mexican|Pressed|title
A Day at the Races|Still Alice|title
A Day in the Life|Who Killed the Electric Car?|title
A Day's Pleasure|Three Worlds|title
A Delicate Balance|It's in the Water|title
A Dennis the Menace Christmas|Duplicity|title
A Diary for Timothy|Defying Gravity|title
A Dirty Shame|Sherlock Holmes and the Voice of Terror|title
A Dog Year|The Bridges of Madison County|title
A Dog of Flanders|Ash Wednesday|title
A Dog's Breakfast|An Unfinished Life|title
A Dog's Will|State of Emergency|title
A Doll's House|What Dreams May Come|title
A Double Life|Black Dawn|title
A Dry White Season|Voyage of the Damned|title
A Face in the Crowd|The Adventures of Huckleberry Finn|title
A Fairly Odd Christmas|Caged Heat|title
A Family|Grave Encounters 2|title
A Family Thing|Tess of the Storm Country|title
A Fantastic Fear of Everything|The Kid Stays in the Picture|title
A Far Off Place|Police, Adjective|title
A Farewell to Arms|Into the West|title
A Feast at Midnight|Lost in Translation|title
A Fever in the Blood|Date Night|title
A Few Best Men|Forever Amber|title
A Few Good Men|In Good Company|title
A Field in England|How Stella Got Her Groove Back|title
A Film Unfinished|Rise of the Zombies|title
A Film with Me in It|The Thorn in the Heart|title
A Fine Madness|Hear My Song|title
A Fine Mess|Come and Get It|title
A Fine Pair|Drift|title
A Fish Called Wanda|Employee of the Month|title
A Fistful of Dollars|Road House|title
A Fistful of Fingers|The General Died at Dawn|title
A Five Star Life|Cannonball Run II|title
A Flintstones Christmas Carol|Prayers for Bobby|title
A Force of One|the ending|title
A Foreign Affair|Reversal of Fortune|title
A Free Soul|F for Fake|title
A Friend of Mine|Better Than Sex|title
