Original|Replacement
$|Yumoyadon
$9.99|Hululebefok
'71|Tekevata
'Neath the Arizona Skies|Vifeca
'R Xmas|Herifer
'Til There Was You|Vupipuh
'night, Mother|Pokav
(Untitled)|Qataza
+1|3
...All the Marbles|Sogewecat
.45|2.0
007|7
06/05|Vilirisi
1|1
1.5|5.0
10|88
10 Items or Less|Wahuc
10 MPH|Joxumewifiy
10 Minutes|Wuwozek
10 Questions for the Dalai Lama|Yigoz
10 Rillington Place|Jajuv
10 Things I Hate About You|Takujame
10 Years|Wuyini
10 to Midnight|Visezitahow
10,000 BC|Bafigil
100 Bloody Acres|Sagequlamopi
100 Feet|Fulomir
100 Girls|Goxowudoqap
100 Rifles|Duhok
100 Ways to Murder Your Wife|Doxodela
101 Dalmatians|Waguherusuku
101 Reykjavík|Podeqobihev
102 Dalmatians|Tenelo
11 Harrowhouse|Dugunono
11-11-11|Fuvebudu
11.6|52.0
12|54
12 Angry Men|Lumavozus
12 Dates of Christmas|Fajixuf
12 Days of Terror|Cizoromasel
12 O'Clock Boys|Doyurecu
12 Rounds|Taxulasutugo
12 Storeys|Qakafiro
12 Years a Slave|Hefoniziwih
12 and Holding|Solupuqafay
120|108
127 Hours|Xapequqodar
12th century|Dowoqotafuf
13|52
13 Assassins|Bodinaxi
13 Ghosts|Nekobixex
13 Going on 30|Qidaziwenehi
13 Rue Madeleine|Fofucozoq
13 Sins|Dafifuqofux
13 Tzameti|Yizara
13th century|Finokoqahet
14 Blades|Rukuci
1408|3070
15 Minutes|Ciweq
15th century|Huqijezu
16 Blocks|Vorumatodiw
16 Years of Alcohol|Behebome
16 to Life|Rofareneze
17 Again|Micima
1776|5999
17th century|Wuzehuv
18 Again!|Jisinuze
18 Fingers of Death!|Yulirecoris
18th century|Detojagu
1900|4494
1909|8984
1910|4182
1910s|Kuweyi
1911|1403
1914|2424
1915|2282
1916|6919
1917|1822
1918|6880
1919|7431
1920|6861
1920s|Duranuqa
1921|1686
1922|1636
1923|4202
1924|6915
1925|3428
1926|5324
1927|5326
1928|3422
1929|6168
1930|2716
1930s|Pusogigixibi
1931|9454
1932|4145
1933|5939
1934|9449
1935|3392
1936|8191
1937|8255
1938|5323
1939|9690
1940|3315
1940s|Johugo
1941|1850
1942|7473
1943|8228
1944|3684
1945|7389
1946|3400
1947|2511
1948|2039
1949|1257
1950|2284
1950s|Xunefipiwub
1951|3880
1952|3237
1953|4125
1954|5219
1955|2622
1956|4460
1957|7422
1958|9925
1959|8367
1960|1684
1960s|Temupahova
1961|4147
1962|7258
1963|2834
1964|8047
1965|5604
1966|7925
1967|9828
1968|3776
1969|3106
1970|4932
1970s|Quwuponov
1971|2133
1972|8689
1973|8437
1974|6279
1975|9335
1976|3081
1977|8005
1978|5187
1979|9866
1980|4761
1980s|Digamo
1981|5996
1982|7495
1983|6262
1984|7573
1985|9216
1986|3179
1987|7190
1988|8502
1989|1183
1990|4413
1990s|Qepamoxu
1991|8986
1992|5838
1993|2049
1994|5567
1995|6243
1996|4283
1997|5958
1998|2659
1999|2066
19th century|Hujuravu
2|2
2 Days in New York|Hewobumiko
2 Days in Paris|Zihogon
2 Days in the Valley|Yodoxaquhuke
2 Fast 2 Furious|Tagatodevuba
2 Guns|Cowujujafuc
2-Headed Shark Attack|Ravakicidi
20 Dates|Fokuqepokiso
20 Million Miles to Earth|Mozabo
20,000 Days on Earth|Wotefoc
20,000 Leagues Under the Sea|Yuqamij
20,000 Years in Sing Sing|Xamufovarojo
200 Cigarettes|Qujeruditow
200 Motels|Vaqokoqiz
2000|7539
2001|4346
2001 Maniacs|Cozelav
2002|4960
2003|8347
2004|8137
2005|2690
2006|2802
2007|1845
2008|7627
2009|1342
2010|7263
2011|7094
2012|7799
2013|1607
2014|8085
2015|4388
2081|6323
21|25
21 Grams|Sased
21 Hours at Munich|Cesific
21 Jump Street|Behalaq
22 Bullets|Mehizota
22 Jump Street|Famaqeduc
23 Paces to Baker Street|Guloyaqu
24 Hour Party People|Huzevezuzixi
247°F|Jowojoyel
25 Watts|Pafocuze
