SUBJECT_TYPE|RELATIONSHIP|OBJECT_TYPE|FREQUENCY
title|starred_actors|person_name|33386
title|has_tags|tag|25595
title|written_by|person_name|19327
title|release_year|year|16574
title|directed_by|person_name|15781
title|has_genre|genre|15400
title|in_language|language|2973
title|has_tags|genre|2372
title|in_language|unknown|472
title|has_tags|title|364
title|has_genre|title|339
title|has_imdb_rating|tag|328
title|has_tags|language|264
unknown|starred_actors|person_name|231
unknown|has_tags|tag|161
unknown|written_by|person_name|143
unknown|directed_by|person_name|128
unknown|has_genre|genre|121
title|has_imdb_votes|tag|118
unknown|release_year|year|117
title|has_tags|number|64
number|starred_actors|person_name|44
number|has_tags|tag|44
title|written_by|title|33
title|starred_actors|title|32
year|starred_actors|person_name|24
number|written_by|person_name|22
unknown|in_language|language|22
number|directed_by|person_name|19
number|release_year|year|18
unknown|has_tags|genre|18
year|has_tags|tag|18
number|has_genre|genre|17
title|directed_by|title|17
year|written_by|person_name|10
title|has_tags|unknown|10
title|has_tags|year|10
year|directed_by|person_name|9
year|release_year|year|9
year|has_genre|genre|6
title|starred_actors|unknown|6
genre|starred_actors|person_name|6
genre|has_tags|tag|6
tag|directed_by|person_name|5
number|has_tags|genre|5
tag|has_genre|genre|5
number|in_language|language|4
tag|release_year|year|4
year|in_language|language|3
tag|written_by|person_name|3
tag|has_tags|tag|3
genre|directed_by|person_name|3
genre|release_year|year|3
unknown|in_language|unknown|3
language|starred_actors|person_name|3
genre|written_by|person_name|2
genre|in_language|language|2
genre|has_genre|genre|2
unknown|has_imdb_votes|tag|2
year|has_tags|genre|2
unknown|has_genre|title|2
language|has_genre|genre|2
tag|starred_actors|person_name|2
number|has_imdb_votes|tag|2
unknown|has_tags|title|2
title|directed_by|tag|1
unknown|has_tags|unknown|1
tag|in_language|language|1
number|has_tags|title|1
unknown|has_tags|language|1
unknown|has_tags|number|1
title|in_language|person_name|1
year|has_genre|title|1
title|directed_by|unknown|1
title|written_by|unknown|1
number|in_language|unknown|1
language|directed_by|person_name|1
language|written_by|person_name|1
language|release_year|year|1
language|has_tags|tag|1
unknown|directed_by|title|1
unknown|written_by|title|1
tag|has_tags|genre|1
title|starred_actors|tag|1
